ID,Provider_1,ProvID_1,Provider_2,ProvID_2,Stationnam,RiverName,RiverBasin,Country,CountryNam,Continent,HydroRegio,DrainArPro,DrainArLDD,YProvided,XProvided,YCorrected,XCorrected,Suitable,Comments,StartDate,EndDate
G0001,Salzburg,203067,-,-,Muehlbach_Pzg,,Salzach,A,Austria,Europe,1,32.3,33,2687674.05,4500967.98,2688500,4500967.98,1,1,01/01/90,31/12/16
G0002,Salzburg,203042,-,-,Neukirchen,,Salzach,A,Austria,Europe,2,40.5,41,2683023.09,4492457.73,2682500,4492457.73,1,1,01/01/90,31/12/16
G0003,Salzburg,203596,-,-,Habach,,Salzach,A,Austria,Europe,3,45.3,46,2684181.69,4496970.97,2683500,4497500,1,1,01/01/90,31/12/16
G0004,Salzburg,203034,-,-,Sulzau,,Salzach,A,Austria,Europe,4,80.7,82,2682399.86,4491254.74,2682399.86,4491254.74,1,1,01/01/90,31/12/16
G0005,Salzburg,203505,-,-,Lofer,,Salzach,A,Austria,Europe,5,107.4,106,2722806.34,4524053.68,2722806.34,4522500,1,1,01/01/90,31/12/16
G0006,Salzburg,203471,-,-,Saalfelden,,Salzach,A,Austria,Europe,6,119.5,121,2705713.26,4535275.9,2705713.26,4535275.9,1,1,01/01/90,31/12/16
G0007,Salzburg,203224,-,-,Grossarl,,Salzach,A,Austria,Europe,7,144.6,141,2685692.33,4563188.26,2684500,4563188.26,1,1,01/01/90,31/12/16
G0008,Salzburg,203463,-,-,Viehhofen,,Salzach,A,Austria,Europe,8,150.8,149,2698543.78,4527789.91,2698543.78,4526500,1,1,01/01/90,31/12/16
G0009,Salzburg,203455,-,-,Lengfelden,,Salzach,A,Austria,Europe,9,159.4,154,2752654.1,4548866.92,2752654.1,4547500,1,1,01/01/90,31/12/16
G0010,Salzburg,203265,-,-,Schwaighofbruecke,,Salzach,A,Austria,Europe,10,171.7,182,2723698.38,4575785.87,2723698.38,4575785.87,1,1,01/01/90,31/12/16
G0011,Salzburg,203026,-,-,Wald,,Salzach,A,Austria,Europe,11,206.8,213,2683694.47,4490164,2683694.47,4490164,1,1,01/01/90,31/12/16
G0012,Salzburg,203208,-,-,Bad_Hofgastein,,Salzach,A,Austria,Europe,12,220.7,216,2677176.11,4556878.25,2676500,4557500,1,1,01/01/90,31/12/16
G0013,Salzburg,203166,-,-,Rauris-unterland,,Salzach,A,Austria,Europe,13,242.2,242,2685441.22,4547569.79,2686500,4547569.79,1,1,01/01/90,31/12/16
G0014,Salzburg,203307,-,-,Obergaeu,,Salzach,A,Austria,Europe,14,394.5,391,2724131.42,4560490.23,2724131.42,4559500,1,1,01/01/90,31/12/16
G0015,Salzburg,203075,-,-,Mittersill,,Salzach,A,Austria,Europe,15,582.6,592,2688702.34,4508783.57,2688702.34,4507500,1,1,01/01/90,31/12/16
G0016,Salzburg,203570,-,-,Siezenheim,,Salzach,A,Austria,Europe,16,1139.1,1140,2748774.21,4543877.11,2748774.21,4543877.11,1,1,01/01/90,31/12/16
G0017,Salzburg,203125,-,-,Bruck_Neuwiesen,,Salzach,A,Austria,Europe,17,1168.7,1169,2690069.36,4534868.34,2690069.36,4534868.34,1,1,01/01/90,31/12/16
G0018,Salzburg,203323,-,-,Golling,,Salzach,A,Austria,Europe,18,3555.7,3549,2725397.54,4559035.72,2725397.54,4559035.72,1,1,01/01/90,31/12/16
G0019,Salzburg,204297,-,-,Salzburg,,Salzach,A,Austria,Europe,19,4425.7,4424,2749488.95,4548535.46,2749488.95,4548535.46,1,1,01/01/90,31/12/16
G0020,Salzburg,203539,-,-,Oberndorf,,Salzach,A,Austria,Europe,20,6120,6116,2762853.39,4539772.63,2762853.39,4539772.63,1,1,01/01/90,31/12/16
